order_id,order_date,status
273,2024-03-12,CANCELLED
26,2024-03-13,PAID
598,2024-03-13,PENDING
278,2024-03-15,PAID
738,2024-03-15,CANCELLED
387,2024-03-15,PAID
254,2024-03-16,PAID
205,2024-03-17,PAID
589,2024-03-17,SHIPPED
816,2024-03-19,SHIPPED
737,2024-03-20,SHIPPED
626,2024-03-21,PAID
947,2024-03-21,SHIPPED
608,2024-03-26,PAID
223,2024-03-26,PAID
809,2024-03-27,PENDING
656,2024-03-28,PAID
1134,2024-03-29,CANCELLED
203,2024-03-31,PAID
1018,2024-04-01,PAID
998,2024-04-01,PAID
930,2024-04-01,PAID
47,2024-04-02,PAID
623,2024-04-04,PAID
481,2024-04-05,PAID
319,2024-04-05,PAID
110,2024-04-05,SHIPPED
954,2024-04-06,SHIPPED
300,2024-04-06,SHIPPED
340,2024-04-07,PENDING
733,2024-04-07,PAID
493,2024-04-08,PAID
267,2024-04-08,PAID
419,2024-04-09,SHIPPED
1026,2024-04-10,SHIPPED
16,2024-04-10,CANCELLED
432,2024-04-11,PAID
452,2024-04-12,PENDING
796,2024-04-12,PAID
856,2024-04-13,SHIPPED
632,2024-04-14,SHIPPED
687,2024-04-15,PAID
484,2024-04-19,PAID
127,2024-04-22,PENDING
128,2024-04-25,SHIPPED
1056,2024-04-27,SHIPPED
43,2024-04-27,SHIPPED
64,2024-04-28,PENDING
439,2024-04-28,PAID
642,2024-04-29,PENDING
602,2024-04-29,SHIPPED
175,2024-05-01,PAID
647,2024-05-01,SHIPPED
373,2024-05-04,PENDING
1166,2024-05-04,SHIPPED
227,2024-05-05,PAID
1044,2024-05-08,SHIPPED
817,2024-05-08,PAID
1159,2024-05-08,PAID
152,2024-05-09,SHIPPED
1095,2024-05-10,PAID
1135,2024-05-10,SHIPPED
989,2024-05-12,PAID
938,2024-05-13,PENDING
1036,2024-05-13,SHIPPED
999,2024-05-13,PAID
808,2024-05-14,PAID
1022,2024-05-14,PAID
344,2024-05-14,PAID
670,2024-05-15,PAID
142,2024-05-15,PAID
338,2024-05-16,PAID
1162,2024-05-17,PAID
847,2024-05-19,PAID
1160,2024-05-19,SHIPPED
311,2024-05-22,PAID
1176,2024-05-25,PAID
136,2024-05-26,PAID
170,2024-05-26,SHIPPED
433,2024-05-26,SHIPPED
960,2024-05-29,PAID
1167,2024-05-29,PAID
746,2024-05-30,PAID
857,2024-05-31,PAID
50,2024-06-01,PAID
922,2024-06-01,PAID
471,2024-06-01,PAID
437,2024-06-05,PENDING
896,2024-06-07,SHIPPED
782,2024-06-07,PENDING
1060,2024-06-07,PAID
206,2024-06-08,PAID
56,2024-06-09,PAID
937,2024-06-10,SHIPPED
342,2024-06-11,SHIPPED
658,2024-06-12,SHIPPED
1116,2024-06-12,SHIPPED
936,2024-06-13,SHIPPED
1033,2024-06-13,PAID
1122,2024-06-14,PENDING
393,2024-06-14,SHIPPED
256,2024-06-15,PAID
52,2024-06-16,PAID
265,2024-06-17,PAID
1028,2024-06-17,SHIPPED
615,2024-06-19,PAID
774,2024-06-19,CANCELLED
634,2024-06-19,SHIPPED
424,2024-06-19,PAID
17,2024-06-20,PAID
662,2024-06-20,SHIPPED
517,2024-06-22,PAID
526,2024-06-26,PAID
742,2024-06-27,PAID
927,2024-06-27,PAID
77,2024-06-28,PAID
1069,2024-06-28,PAID
529,2024-06-30,SHIPPED
244,2024-07-01,PAID
1143,2024-07-02,PENDING
111,2024-07-02,SHIPPED
282,2024-07-03,PAID
413,2024-07-03,PAID
923,2024-07-03,PAID
103,2024-07-04,PAID
71,2024-07-06,PAID
1158,2024-07-08,CANCELLED
314,2024-07-09,SHIPPED
143,2024-07-09,CANCELLED
518,2024-07-10,SHIPPED
313,2024-07-10,SHIPPED
1030,2024-07-11,PAID
520,2024-07-11,SHIPPED
845,2024-07-14,PAID
764,2024-07-14,PAID
352,2024-07-14,PAID
982,2024-07-16,PAID
919,2024-07-17,PAID
514,2024-07-17,PAID
1102,2024-07-17,SHIPPED
272,2024-07-19,PAID
168,2024-07-19,PAID
1093,2024-07-19,SHIPPED
859,2024-07-20,SHIPPED
874,2024-07-20,SHIPPED
971,2024-07-20,SHIPPED
1182,2024-07-22,PAID
298,2024-07-22,PAID
912,2024-07-23,PAID
98,2024-07-23,PAID
1195,2024-07-24,SHIPPED
556,2024-07-29,SHIPPED
303,2024-07-29,PAID
894,2024-07-29,SHIPPED
233,2024-07-31,PAID
310,2024-08-02,SHIPPED
1019,2024-08-02,SHIPPED
537,2024-08-04,PAID
563,2024-08-04,PENDING
803,2024-08-05,SHIPPED
327,2024-08-06,PAID
620,2024-08-07,SHIPPED
596,2024-08-08,PAID
621,2024-08-08,SHIPPED
676,2024-08-08,SHIPPED
617,2024-08-09,SHIPPED
32,2024-08-09,PENDING
562,2024-08-09,PAID
312,2024-08-09,PAID
1128,2024-08-11,PENDING
230,2024-08-12,SHIPPED
91,2024-08-12,PAID
257,2024-08-12,PAID
431,2024-08-13,SHIPPED
580,2024-08-14,SHIPPED
1085,2024-08-14,PAID
281,2024-08-14,PAID
1096,2024-08-14,PAID
133,2024-08-16,SHIPPED
985,2024-08-17,PAID
881,2024-08-19,PAID
705,2024-08-20,SHIPPED
913,2024-08-21,SHIPPED
196,2024-08-22,SHIPPED
860,2024-08-22,PAID
180,2024-08-24,PAID
115,2024-08-24,SHIPPED
906,2024-08-25,PAID
259,2024-08-25,SHIPPED
636,2024-08-25,PAID
1012,2024-08-26,SHIPPED
756,2024-08-26,PAID
96,2024-08-28,SHIPPED
534,2024-08-29,PAID
225,2024-08-31,PAID
248,2024-08-31,SHIPPED
219,2024-08-31,SHIPPED
191,2024-09-01,PAID
973,2024-09-02,PAID
749,2024-09-02,PAID
1062,2024-09-02,PAID
328,2024-09-03,PAID
208,2024-09-03,PAID
85,2024-09-04,SHIPPED
243,2024-09-04,PAID
1052,2024-09-05,CANCELLED
1106,2024-09-06,PAID
840,2024-09-06,PAID
1068,2024-09-06,PENDING
487,2024-09-09,PENDING
226,2024-09-09,SHIPPED
1037,2024-09-10,PENDING
834,2024-09-10,CANCELLED
190,2024-09-11,SHIPPED
655,2024-09-11,SHIPPED
113,2024-09-11,SHIPPED
1198,2024-09-12,PAID
590,2024-09-13,SHIPPED
1108,2024-09-15,PENDING
380,2024-09-16,SHIPPED
324,2024-09-16,SHIPPED
286,2024-09-17,PAID
804,2024-09-17,PAID
805,2024-09-18,PENDING
565,2024-09-18,PAID
251,2024-09-19,PENDING
1175,2024-09-19,PAID
557,2024-09-20,SHIPPED
1157,2024-09-20,PENDING
931,2024-09-20,SHIPPED
290,2024-09-21,PAID
410,2024-09-22,PAID
893,2024-09-22,SHIPPED
383,2024-09-22,SHIPPED
325,2024-09-22,PAID
288,2024-09-24,PAID
1154,2024-09-25,PAID
512,2024-09-26,SHIPPED
722,2024-09-27,PENDING
793,2024-09-28,PAID
689,2024-09-30,PAID
917,2024-10-02,SHIPPED
942,2024-10-03,PENDING
627,2024-10-04,PAID
407,2024-10-05,SHIPPED
943,2024-10-06,SHIPPED
1187,2024-10-07,PAID
766,2024-10-07,PENDING
240,2024-10-10,PAID
854,2024-10-10,SHIPPED
844,2024-10-10,CANCELLED
414,2024-10-11,SHIPPED
296,2024-10-12,PAID
347,2024-10-12,SHIPPED
1104,2024-10-13,PENDING
569,2024-10-13,SHIPPED
879,2024-10-14,PAID
708,2024-10-15,SHIPPED
25,2024-10-16,SHIPPED
285,2024-10-16,PAID
38,2024-10-16,SHIPPED
695,2024-10-17,PAID
66,2024-10-18,CANCELLED
818,2024-10-18,PAID
378,2024-10-18,CANCELLED
995,2024-10-18,PAID
605,2024-10-19,PAID
139,2024-10-19,SHIPPED
826,2024-10-20,PAID
499,2024-10-22,PENDING
297,2024-10-22,SHIPPED
1000,2024-10-23,SHIPPED
895,2024-10-24,PAID
692,2024-10-24,PAID
682,2024-10-24,PAID
21,2024-10-25,PAID
125,2024-10-26,PAID
555,2024-10-26,PAID
1027,2024-10-26,PAID
1199,2024-10-27,SHIPPED
3,2024-10-28,PAID
6,2024-10-29,PAID
1089,2024-10-29,PAID
939,2024-10-29,PAID
1032,2024-10-31,SHIPPED
1031,2024-10-31,PAID
1010,2024-10-31,SHIPPED
831,2024-10-31,PENDING
810,2024-11-01,PAID
641,2024-11-01,PAID
367,2024-11-02,PENDING
864,2024-11-04,SHIPPED
241,2024-11-05,PAID
392,2024-11-05,SHIPPED
990,2024-11-06,PAID
701,2024-11-07,PAID
94,2024-11-07,PAID
761,2024-11-08,PAID
599,2024-11-08,SHIPPED
767,2024-11-08,PAID
1054,2024-11-08,SHIPPED
551,2024-11-09,PAID
44,2024-11-11,SHIPPED
250,2024-11-11,PAID
558,2024-11-12,PAID
151,2024-11-13,SHIPPED
34,2024-11-14,PAID
146,2024-11-15,PENDING
284,2024-11-17,SHIPPED
779,2024-11-18,PENDING
709,2024-11-18,PAID
980,2024-11-18,SHIPPED
76,2024-11-20,SHIPPED
157,2024-11-21,PAID
1171,2024-11-21,PAID
1156,2024-11-23,CANCELLED
252,2024-11-24,SHIPPED
678,2024-11-24,PAID
788,2024-11-24,PAID
1073,2024-11-25,SHIPPED
715,2024-11-27,SHIPPED
370,2024-11-27,PAID
669,2024-11-28,PENDING
1137,2024-11-28,PAID
415,2024-11-28,SHIPPED
644,2024-11-28,SHIPPED
724,2024-11-28,PAID
70,2024-11-30,CANCELLED
909,2024-11-30,PENDING
889,2024-11-30,PAID
213,2024-12-02,PAID
651,2024-12-02,PENDING
944,2024-12-02,PAID
137,2024-12-02,PAID
900,2024-12-02,PAID
1168,2024-12-03,SHIPPED
1180,2024-12-03,PAID
961,2024-12-03,PAID
1061,2024-12-03,PAID
616,2024-12-04,SHIPPED
876,2024-12-04,PAID
1087,2024-12-05,SHIPPED
815,2024-12-05,SHIPPED
323,2024-12-06,PAID
674,2024-12-06,PENDING
797,2024-12-07,SHIPPED
646,2024-12-08,PAID
391,2024-12-08,PENDING
862,2024-12-09,PAID
573,2024-12-10,PENDING
867,2024-12-10,SHIPPED
293,2024-12-11,PAID
897,2024-12-13,PAID
371,2024-12-13,PAID
164,2024-12-14,PAID
101,2024-12-14,PAID
1079,2024-12-14,PAID
535,2024-12-15,PAID
1075,2024-12-15,PAID
416,2024-12-16,PAID
366,2024-12-17,SHIPPED
1177,2024-12-18,SHIPPED
1141,2024-12-19,PAID
247,2024-12-19,SHIPPED
280,2024-12-21,SHIPPED
329,2024-12-21,PAID
122,2024-12-21,PAID
775,2024-12-21,PAID
289,2024-12-23,SHIPPED
1103,2024-12-24,PENDING
920,2024-12-25,PAID
422,2024-12-25,PAID
236,2024-12-26,PAID
905,2024-12-27,SHIPPED
685,2024-12-27,SHIPPED
1084,2024-12-27,SHIPPED
305,2024-12-28,SHIPPED
882,2024-12-28,PAID
336,2024-12-29,PAID
489,2024-12-29,PAID
181,2024-12-30,SHIPPED
707,2024-12-31,PAID
